	title	REVISADO (bibtex citation)	Google link
SRA-42	A single gene underlies the dynamic evolution of poplar sex determination	Out of scope	https://scholar.google.com/scholar?&q=A+single+gene+underlies+the+dynamic+evolution+of+poplar+sex+determination
SRA-43	A workflow for identification of plant speciation genes	No existe	https://scholar.google.com/scholar?&q=A+workflow+for+identification+of+plant+speciation+genes
SRA-51	Adaptive response to complex desert stress environments in two ecotypes of Phragmites communis with contrasting water availability	No existe	https://scholar.google.com/scholar?&q=Adaptive+response+to+complex+desert+stress+environments+in+two+ecotypes+of+Phragmites+communis+with+contrasting+water+availability
SRA-102	Anchored Phylogenomics of Cariceae-Dulichieae-Scirpeae (CDS) clade, Cyperoideae, Cyperaceae	Thesis	https://scholar.google.com/scholar?&q=Anchored+Phylogenomics+of+Cariceae-Dulichieae-Scirpeae+%28CDS%29+clade%2C+Cyperoideae%2C+Cyperaceae
SRA-109	Angiosperm mitochondrial phylogenomics	No existe	https://scholar.google.com/scholar?&q=Angiosperm+mitochondrial+phylogenomics
SRA-127	Asclepias Sonoran Desert Clade	No existe	https://scholar.google.com/scholar?&q=Asclepias+Sonoran+Desert+Clade
SRA-131	Assessment of Genetic Diversity and Systematics of the genus Physalis L. (Solanaceae) in India, using PCR based methods	No existe	https://scholar.google.com/scholar?&q=Assessment+of+Genetic+Diversity+and+Systematics+of+the+genus+Physalis+L.+%28Solanaceae%29+in+India%2C+using+PCR+based+methods
SRA-134	Asterid phylogenomics/phylotranscriptomics uncover morphological evolutionary histories and phylogenetic placement for numerous whole genome duplications	@article{Zhang2020Nov,         author = {Zhang, Caifei and Zhang, Taikui and Luebert, Federico and Xiang, Yezi and Huang, Chien-Hsun and Hu, Yi and Rees, Mathew and Frohlich, Michael W. and Qi, Ji and Weigend, Maximilian and Ma, Hong},         title = {{Asterid Phylogenomics/Phylotranscriptomics Uncover Morphological Evolutionary Histories and Support Phylogenetic Placement for Numerous Whole-Genome Duplications}},         journal = {Molecular Biology and Evolution},         volume = {37},         number = {11},         pages = {3188--3210},         year = {2020},         month = {Nov},         issn = {0737-4038},         publisher = {Oxford Academic},         doi = {10.1093/molbev/msaa160},         abstract = {{Asterids are one of the most successful angiosperm lineages, exhibiting extensive morphological diversity and including a number of important crops. Despite their biological prominence and value to humans, the deep asterid phylogeny has not been fully resolved, and the evolutionary landscape underlying their radiation remains unknown. To resolve the asterid phylogeny, we sequenced 213 transcriptomes/genomes and combined them with other data sets, representing all accepted orders and nearly all families of asterids. We show fully supported monophyly of asterids, Berberidopsidales as sister to asterids, monophyly of all orders except Icacinales, Aquifoliales, and Bruniales, and monophyly of all families except Icacinaceae and Ehretiaceae. Novel taxon placements benefited from the expanded sampling with living collections from botanical gardens, resolving hitherto uncertain relationships. The remaining ambiguous placements here are likely due to limited sampling and could be addressed in the future with relevant additional taxa. Using our well-resolved phylogeny as reference, divergence time estimates support an Aptian (Early Cretaceous) origin of asterids and the origin of all orders before the Cretaceous–Paleogene boundary. Ancestral state reconstruction at the family level suggests that the asterid ancestor was a woody terrestrial plant with simple leaves, bisexual, and actinomorphic flowers with free petals and free anthers, a superior ovary with a style, and drupaceous fruits. Whole-genome duplication (WGD) analyses provide strong evidence for 33 WGDs in asterids and one in Berberidopsidales, including four suprafamilial and seven familial/subfamilial WGDs. Our results advance the understanding of asterid phylogeny and provide numerous novel evolutionary insights into their diversification and morphological evolution.}} }	https://scholar.google.com/scholar?&q=Asterid+phylogenomics%2Fphylotranscriptomics+uncover+morphological+evolutionary+histories+and+phylogenetic+placement+for+numerous+whole+genome+duplications
SRA-148	Basal lamiid phylogeny based on plastid genomes	No existe	https://scholar.google.com/scholar?&q=Basal+lamiid+phylogeny+based+on+plastid+genomes
SRA-150	Biogeography of the genus Stellaria	@article{Sharples2019Dec,         author = {Sharples, Mathew T. and Tripp, Erin A.},         title = {{Phylogenetic Relationships Within and Delimitation of the Cosmopolitan Flowering Plant Genus Stellaria L. (Caryophyllaceae): Core Stars and Fallen Stars}},         journal = {Systematic Botany},         volume = {44},         number = {4},         pages = {857--876},         year = {2019},         month = {Dec},         issn = {0363-6445},         publisher = {American Society of Plant Taxonomists},         doi = {10.1600/036364419X15710776741440},         abstract = {{Abstract— Stellaria (Caryophyllaceae, tribe Alsineae) is a cosmopolitan genus of herbaceous plants that heretofore has lacked a stable estimate of total number of species. Here, we attempted to sample all species currently recognized under the name Stellaria to determine which belong to a core Stellaria genus versus which are masquerading under this name and are instead more closely related to one of several outgroup lineages. Phylogenetic relationships inferred with RAD loci were recovered with generally high levels of support, regardless of age of specimens (here up to 98 yr) utilized for molecular work. Analyses resolved a monophyletic, core radiation of Stellaria that is sister to Cerastium and others. Within core Stellaria, of which we sampled ca. 87% of species, we recovered five primary lineages. However, current infrageneric hypotheses are incongruous with phylogenomic data, and most morphology-based infrageneric hypotheses break down in light of these results. Outside of core Stellaria we recovered numerous other species currently ascribed to Stellaria that are in need of revised generic placement. Based on current results, however, we propose several new taxonomic and nomenclatural renovations within core Stellaria and external to this group as contribution towards stabilization of generic boundaries in Alsineae. These modifications include description of a new genus of Caryophyllaceae from eastern Asia, Nubelaria , as well description of a new genus, Rabelera , to accommodate the lineage previously and more widely known as Stellaria holostea. Nine new combinations are proposed in the genera Adenonema, Cerastium, Mesostemma, Nubelaria, Rabelera, and core Stellaria. Additionally, one new status, one new synonymy, and lectotypes for four species are proposed. We estimate core Stellaria to consist of approximately 112 species, a decrease from many other published species counts. Our results lay a robust foundation for future evolutionary, phylogenetic, and morphological comparisons within Stellaria and among relatives.}} }	https://scholar.google.com/scholar?&q=Biogeography+of+the+genus+Stellaria
SRA-157	Bouteloua gracilis Phylogeny	No existe	https://scholar.google.com/scholar?&q=Bouteloua+gracilis+Phylogeny
SRA-177	Brassicaceae phylogenomics	No existe	https://scholar.google.com/scholar?&q=Brassicaceae+phylogenomics
SRA-185	California Scrub Oak Phylogeny and Introgression	@misc{BibEntry2020May,         author = {Victoria L. Sork, Erin Riordan, Paul F. Gugger, Sorel Fitz-Gibbon, Xinzeng Wei, and Joaquín Ortego},         title = {{Phylogeny and Introgression of California Scrub White Oaks (Quercus section Quercus)}},         journal = {International Oak Society},         year = {2016},         month = {May},         note = {[Online; accessed 1. Jul. 2021]},         url = {https://www.internationaloaksociety.org/content/phylogeny-and-introgression-california-scrub-white-oaks-quercus-section-quercus-0},         abstract = {{The taxonomy of oaks (Quercus) is always a challenge because many species exhibit variable phenotypes that overlap with other species. The scrub White Oaks of California are no exception. In California, Quercus section Quercus (i.e., White Oaks) includes six species of scrub oaks plus four tree oak species. Field identification utilizes leaf traits and acorns, when available, as well as geographic location, but often botanists with the exception of specialists are not confident of their assignments. Complicating our understanding of scrub oaks further is the historical and ongoing introgression among taxa. Fortunately, new research using nuclear microsatellite genetic markers and RADseq-based sequences are clarifying their evolutionary relationships. Based on these genetic markers, we describe the phylogenetic relationships among the California scrub and tree White Oaks. Given the impact of hybridization in oaks, we then present a specific example involving three Southern California oaks – one tree oak (Q. engelmannii) and two scrub oaks (Q. berberidifolia and Q. cornelius-mulleri) – to illustrate how the environment and geography play a role in promoting interspecific gene exchange. This paper provides an overview of a fascinating scrub oak complex in a topographically and climatically diverse region.}} }	https://scholar.google.com/scholar?&q=California+Scrub+Oak+Phylogeny+and+Introgression
SRA-188	Can asexuality confer a short term advantage? Investigating apparent biogeographic success in the apomictic triploid fern Myriopteris gracilis	@article{Wickell2017Aug,         author = {Wickell, David A. and Windham, Michael D. and Wang, Xiaofei and Macdonald, Stuart J. and Beck, James B.},         title = {{Can asexuality confer a short-term advantage? Investigating apparent biogeographic success in the apomictic triploid fern Myriopteris gracilis}},         journal = {American Journal of Botany},         volume = {104},         number = {8},         pages = {1254--1265},         year = {2017},         month = {Aug},         issn = {0002-9122},         publisher = {John Wiley & Sons, Ltd},         doi = {10.3732/ajb.1700126},         abstract = {{PREMISE OF THE STUDY: Although asexual taxa are generally seen as evolutionary dead ends, asexuality appears to provide a short-term benefit in some taxa, including a wider geographic distribution compared to sexual relatives. However, this may be an illusion created by multiple, morphologically cryptic, asexual lineages, each occupying a relatively small area. In this study we investigate the role of multiple lineages in the biogeography of Myriopteris gracilis Fée (Pteridaceae), a North American apomictic triploid fern species with a particularly large range. METHODS: Range-wide asexuality was assessed by counting spores/sporangium in 606 Myriopteris gracilis specimens from across the species range, and lineage structure was assessed with both plastid DNA sequence and Genotyping By Sequencing (GBS) SNP datasets. KEY RESULTS: Spore counting of >600 specimens identified no sexual populations, establishing that Myriopteris gracilis is exclusively asexual. The plastid data estimated the crown age of M. gracilis at ca. 2.5 mya and identified two lineages, each largely confined to the eastern or western portions of the range. These groups were further subdivided by the GBS data, revealing at least seven asexual lineages of varying geographic distributions, each occupying a relatively small portion of the total range of M. gracilis. CONCLUSIONS: Although maintained exclusively through asexual reproduction, the broad distribution of Myriopteris gracilis is a compilation of numerous, independently formed asexual lineages. Since no single asexual lineage occupies the full extent of the species distribution, recurrent lineage formation should be considered when evaluating the short-term benefit of asexuality in this taxon and others.}} }	https://scholar.google.com/scholar?&q=Can+asexuality+confer+a+short+term+advantage%3F+Investigating+apparent+biogeographic+success+in+the+apomictic+triploid+fern+Myriopteris+gracilis
SRA-230	Chloroplast Phylogenomics of Amaranthus	@article{Viljoen2018Apr,         author = {Viljoen, Erika and Odeny, Damaris A. and Coetzee, Martin P. A. and Berger, Dave K. and Rees, David J. G.},         title = {{Application of Chloroplast Phylogenomics to Resolve Species Relationships Within the Plant Genus Amaranthus}},         journal = {Journal of Molecular Evolution},         volume = {86},         number = {3},         pages = {216--239},         year = {2018},         month = {Apr},         issn = {1432-1432},         publisher = {Springer US},         doi = {10.1007/s00239-018-9837-9},         abstract = {{Amaranthus species are an emerging and promising nutritious traditional vegetable food source. Morphological plasticity and poorly resolved dendrograms have led to the need for well resolved species phylogenies. We hypothesized that whole chloroplast phylogenomics would result in more reliable differentiation between closely related amaranth species. The aims of the study were therefore: to construct a fully assembled, annotated chloroplast genome sequence of Amaranthus tricolor; to characterize Amaranthus accessions phylogenetically by comparing barcoding genes (matK, rbcL, ITS) with whole chloroplast sequencing; and to use whole chloroplast phylogenomics to resolve deeper phylogenetic relationships. We generated a complete A. tricolor chloroplast sequence of 150,027 bp. The three barcoding genes revealed poor inter- and intra-species resolution with low bootstrap support. Whole chloroplast phylogenomics of 59 Amaranthus accessions increased the number of parsimoniously informative sites from 92 to 481 compared to the barcoding genes, allowing improved separation of amaranth species. Our results support previous findings that two geographically independent domestication events of Amaranthus hybridus likely gave rise to several species within the Hybridus complex, namely Amaranthus dubius, Amaranthus quitensis, Amaranthus caudatus, Amaranthus cruentus and Amaranthus hypochondriacus. Poor resolution of species within the Hybridus complex supports the recent and ongoing domestication within the complex, and highlights the limitation of chloroplast data for resolving recent evolution. The weedy Amaranthus retroflexus and Amaranthus powellii was found to share a common ancestor with the Hybridus complex. Leafy amaranth, Amaranthus tricolor, Amaranthus blitum, Amaranthus viridis and Amaranthus graecizans formed a stable sister lineage to the aforementioned species across the phylogenetic trees. This study demonstrates the power of next-generation sequencing data and reference-based assemblies to resolve phylogenies, and also facilitated the identification of unknown Amaranthus accessions from a local genebank. The informative phylogeny of the Amaranthus genus will aid in selecting accessions for breeding advanced genotypes to satisfy global food demand.}} }	https://scholar.google.com/scholar?&q=Chloroplast+Phylogenomics+of+Amaranthus
SRA-235	Chloroplast phylogenomics and character evolution of eastern Asian Astragalus (Leguminosae)	@article{Su2021Mar,         author = {Su, Chun and Duan, Lei and Liu, Peiliang and Liu, Jing and Chang, Zhaoyang and Wen, Jun},         title = {{Chloroplast phylogenomics and character evolution of eastern Asian Astragalus (Leguminosae): Tackling the phylogenetic structure of the largest genus of flowering plants in Asia}},         journal = {Molecular Phylogenetics and Evolution},         volume = {156},         pages = {107025},         year = {2021},         month = {Mar},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2020.107025},         abstract = {{Astragalus, as the largest genus of the flowering plants, is well-known for its high species richness and morphological diversity. Previous studies suggested that many of the subgenera of Astragalus are not monophyletic and the phylogenetic relationships within the genus are still poorly known. In this study, we sampled 117 accessions of Astragalus and its close relatives, covering 55 sections of the genus plus 30 outgroup taxa to recover the main clades of eastern Asian Astragalus based on sequences of the whole chloroplast genome and 65 chloroplast CDSs. Astragalus is supported to be monophyletic and it is sister to the Oxytropis + Coluteoid clade. Within Astragalus, we recovered ten clades, and the ten clades differ substantially from Bunge’s subgenera. The former segregate genus Astracantha is also monophyletic, but embedded within Astragalus s. str., supporting the merge of the spiny former genus Astracantha with Astragalus. We detected the atpF intron losses in the chloroplast genome of the Oxytropis + Coluteoid clade, i.e., the sister clade to Astragalus. Furthermore, we estimated the ancestral states of the trichome morphology and habit via the Bayesian Binary Method. The medifixed hair type is inferred to have developed at least five times and the annual habit originated at least six times. In addition, Astragalus is estimated to have originated in the mid Miocene (stem age, 16.09 Ma, 95% HPD: 12.46–20.50 Ma). The divergence times of the medifixed hair groups ranged from 4.03 to 0.87 Ma, mostly 2–1 Ma, which are correlated with the estimated phased uplifts of the Qinghai-Tibetan Plateau (QTP). We hypothesize that the uplifts of the QTP, which contributed to aridification in eastern Asia and the adjacent regions, may have accelerated the rapid speciation of Astragalus, especially the xerophilous groups (i.e. the medifixed hair groups). Graphical abstract Download : Download high-res image (210KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Chloroplast+phylogenomics+and+character+evolution+of+eastern+Asian+Astragalus+%28Leguminosae%29
SRA-237	Chromosome evolution in ancient gymnosperm species	No existe	https://scholar.google.com/scholar?&q=Chromosome+evolution+in+ancient+gymnosperm+species
SRA-238	Chromosome evolution in invasive Spartina plants	No existe	https://scholar.google.com/scholar?&q=Chromosome+evolution+in+invasive+Spartina+plants
SRA-242	Circum-Mediterranean firs evolution	No existe	https://scholar.google.com/scholar?&q=Circum-Mediterranean+firs+evolution
SRA-250	Combination of Sanger and target-enrichment markers resolves phylogenetic relationships and supports generic delimitation in the problematic 'Urera clade' of the nettle family (Urticaceae)	@article{Wells2021May,         author = {Wells, Tom and Maurin, Olivier and Dodsworth, Steven and Friis, Ib and Cowan, Robyn and Epitawalage, Niroshini and Brewer, Grace and Forest, Felix and Baker, William J. and Monro, Alexandre K.},         title = {{Combination of Sanger and target-enrichment markers supports revised generic delimitation in the problematic ‘Urera clade’ of the nettle family (Urticaceae)}},         journal = {Molecular Phylogenetics and Evolution},         volume = {158},         pages = {107008},         year = {2021},         month = {May},         issn = {1055-7903},         publisher = {Academic Press},         doi = {10.1016/j.ympev.2020.107008},         abstract = {{Urera Gaudich, s.l. is a pantropical genus comprising c. 35 species of trees, shrubs, and vines. It has a long history of taxonomic uncertainty, and is repeatedly recovered as polyphyletic within a poorly resolved complex of genera in the Urticeae tribe of the nettle family (Urticaceae). To provide generic delimitations concordant with evolutionary history, we use increased taxonomic and genomic sampling to investigate phylogenetic relationships among Urera and associated genera. A cost-effective two-tier genome-sampling approach provides good phylogenetic resolution by using (i) a taxon-dense sample of Sanger sequence data from two barcoding regions to recover clades of putative generic rank, and (ii) a genome-dense sample of target-enrichment data for a subset of representative species from each well-supported clade to resolve relationships among them. The results confirm the polyphyly of Urera s.l. with respect to the morphologically distinct genera Obetia, Poikilospermum and Touchardia. Afrotropic members of Urera s.l. are recovered in a clade sister to the xerophytic African shrubs Obetia; and Hawaiian ones with Touchardia, also from Hawaii. Combined with distinctive morphological differences between Neotropical and African members of Urera s.l., these results lead us to resurrect the previously synonymised name Scepocarpus Wedd. for the latter. The new species epiphet Touchardia oahuensis T.Wells & A.K. Monro is offered as a replacement name for Touchardia glabra non H.St.John, and subgenera are created within Urera s.s. to account for the two morphologically distinct Neotropical clades. This new classification minimises taxonomic and nomenclatural disruption, while more accurately reflecting evolutionary relationships within the group. Graphical abstract Download : Download high-res image (289KB)Download : Download full-size image}} }	https://scholar.google.com/scholar?&q=Combination+of+Sanger+and+target-enrichment+markers+resolves+phylogenetic+relationships+and+supports+generic+delimitation+in+the+problematic+%27Urera+clade%27+of+the+nettle+family+%28Urticaceae%29
