,title,REVISADO (bibtex citation),Google link,Taxonomy,Systematic,Mexico,Morphology,First gen.,Second gen.,Third gen.,Nuclear info,Chloroplast info,Parsimony,Maximum likelihood,Bayesian,MSC
50,A Five Gene Phylogenetic Study of Fuireneae (Cyperaceae) with a Revision of Isolepis humillima,,https://scholar.google.com/scholar?&q=A+Five+Gene+Phylogenetic+Study+of+Fuireneae+%28Cyperaceae%29+with+a+Revision+of+Isolepis+humillima,?,Auto,?,?,?,?,?,?,?,?,?,?,?
65,A Molecular Phylogenetic Analysis of Dyschoriste (Acanthaceae) Using nrITS and trnG-trnR Regions,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogenetic+Analysis+of+Dyschoriste+%28Acanthaceae%29+Using+nrITS+and+trnG-trnR+Regions,?,Auto,?,?,Auto,?,?,Auto,Auto,?,?,?,?
66,A Molecular Phylogenetic Study of Arnica (Asteraceae): Low Chloroplast DNA Variation and Problematic Subgeneric Classification,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogenetic+Study+of+Arnica+%28Asteraceae%29%3A+Low+Chloroplast+DNA+Variation+and+Problematic+Subgeneric+Classification,Auto,Auto,?,?,?,?,?,?,Auto,?,?,?,?
67,"A Molecular Phylogenetic Study of the Palmae (Arecaceae) Based on atpB, rbcL, and 18S nrDNA Sequences",,https://scholar.google.com/scholar?&q=A+Molecular+Phylogenetic+Study+of+the+Palmae+%28Arecaceae%29+Based+on+atpB%2C+rbcL%2C+and+18S+nrDNA+Sequences,?,Auto,?,?,Auto,?,?,Auto,Auto,?,?,?,?
68,A Molecular Phylogeny and Classification of Bignoniaceae,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+and+Classification+of+Bignoniaceae,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
69,A Molecular Phylogeny and Taxonomic Notes in Caamembeca (Polygalaceae),,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+and+Taxonomic+Notes+in+Caamembeca+%28Polygalaceae%29,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
70,A Molecular Phylogeny for the Genus Coccoloba (Polygonaceae) with an Assessment of Biogeographic Patterns,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+for+the+Genus+Coccoloba+%28Polygonaceae%29+with+an+Assessment+of+Biogeographic+Patterns,?,Auto,?,?,?,?,?,?,?,?,?,?,?
71,A Molecular Phylogeny of Acacia (Fabaceae),,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+of+Acacia+%28Fabaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
72,A Molecular Phylogeny of Lythraceae (Myrtales) Based on Combined Analysis of Five Chloroplast Regions and ITS,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+of+Lythraceae+%28Myrtales%29+Based+on+Combined+Analysis+of+Five+Chloroplast+Regions+and+ITS,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
73,"A Molecular Phylogeny of North American Atripliceae (Chenopodiaceae), with Implications for Floral and Photosynthetic Pathway Evolution",,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+of+North+American+Atripliceae+%28Chenopodiaceae%29%2C+with+Implications+for+Floral+and+Photosynthetic+Pathway+Evolution,?,Auto,?,?,?,?,?,?,?,?,?,?,?
74,A Molecular Phylogeny of Wild and Cultivated Echinochloa in East Asia,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+of+Wild+and+Cultivated+Echinochloa+in+East+Asia,?,Auto,?,?,?,?,?,?,?,?,?,?,?
75,A Molecular Phylogeny of the Species-Rich Neotropical Genus Anthurium (Araceae) Based on Combined Chloroplast and Nuclear DNA,,https://scholar.google.com/scholar?&q=A+Molecular+Phylogeny+of+the+Species-Rich+Neotropical+Genus+Anthurium+%28Araceae%29+Based+on+Combined+Chloroplast+and+Nuclear+DNA,?,Auto,?,?,?,?,?,Auto,Auto,?,?,?,?
82,A New Phylogeny for the Grasses,,https://scholar.google.com/scholar?&q=A+New+Phylogeny+for+the+Grasses,?,Auto,?,?,?,?,?,?,?,?,?,?,?
84,A New Species in the Lomatium foeniculaceum (Apiaceae) Clade Revealed Through Combined Morphometric and Phylogenetic Analyses,,https://scholar.google.com/scholar?&q=A+New+Species+in+the+Lomatium+foeniculaceum+%28Apiaceae%29+Clade+Revealed+Through+Combined+Morphometric+and+Phylogenetic+Analyses,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
85,"A New Species of Galeoglossum (Orchidaceae, Cranichidinae) from Oaxaca, Mexico",,https://scholar.google.com/scholar?&q=A+New+Species+of+Galeoglossum+%28Orchidaceae%2C+Cranichidinae%29+from+Oaxaca%2C+Mexico,Auto,?,Auto,?,?,?,?,?,?,?,?,?,?
86,A New Species of Microgramma (Polypodiaceae) from Brazil and Recircumscription of the Genus Based on Phylogenetic Evidence,,https://scholar.google.com/scholar?&q=A+New+Species+of+Microgramma+%28Polypodiaceae%29+from+Brazil+and+Recircumscription+of+the+Genus+Based+on+Phylogenetic+Evidence,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
87,"A New Species of Physeterostemon (Melastomataceae) from Bahia, Brazil, with Notes on the Phylogeny of the Genus",,https://scholar.google.com/scholar?&q=A+New+Species+of+Physeterostemon+%28Melastomataceae%29+from+Bahia%2C+Brazil%2C+with+Notes+on+the+Phylogeny+of+the+Genus,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
88,"A New Species of Tanaecium (Bignonieae, Bignoniaceae) from the Brazilian Amazon and its phylogenetic placement",,https://scholar.google.com/scholar?&q=A+New+Species+of+Tanaecium+%28Bignonieae%2C+Bignoniaceae%29+from+the+Brazilian+Amazon+and+its+phylogenetic+placement,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
89,A New Species of Telipogon (Orchidaceae) from Mexico and its Phylogenetic Position Among Mesoamerican Species,,https://scholar.google.com/scholar?&q=A+New+Species+of+Telipogon+%28Orchidaceae%29+from+Mexico+and+its+Phylogenetic+Position+Among+Mesoamerican+Species,Auto,Auto,Auto,?,?,?,?,?,?,?,?,?,?
95,"A PHYLOGENETIC ANALYSIS OF ALYXIEAE (APOCYNACEAE) BASED ON RBCL, MATK, TRNL INTRON, TRNL-F SPACER SEQUENCES, AND MORPHOLOGICAL CHARACTERS",,https://scholar.google.com/scholar?&q=A+PHYLOGENETIC+ANALYSIS+OF+ALYXIEAE+%28APOCYNACEAE%29+BASED+ON+RBCL%2C+MATK%2C+TRNL+INTRON%2C+TRNL-F+SPACER+SEQUENCES%2C+AND+MORPHOLOGICAL+CHARACTERS,?,Auto,?,Auto,Auto,?,?,?,Auto,?,?,?,?
98,"A Phylogenetic Analysis of the Acacieae and Ingeae (Mimosoideae: Fabaceae) based on trnK, matK, psbA-trnH, and trnL/trnF Sequence Data",,https://scholar.google.com/scholar?&q=A+Phylogenetic+Analysis+of+the+Acacieae+and+Ingeae+%28Mimosoideae%3A+Fabaceae%29+based+on+trnK%2C+matK%2C+psbA-trnH%2C+and+trnL%2FtrnF+Sequence+Data,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
99,A Phylogenetic Analysis of the Genus Dahlia (Asteraceae) Based on Internal and External Transcribed Spacer Regions of Nuclear Ribosomal DNA,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Analysis+of+the+Genus+Dahlia+%28Asteraceae%29+Based+on+Internal+and+External+Transcribed+Spacer+Regions+of+Nuclear+Ribosomal+DNA,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
100,A Phylogenetic Analysis of the Genus Fragaria (Strawberry) Using Intron-Containing Sequence from the ADH-1 Gene,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Analysis+of+the+Genus+Fragaria+%28Strawberry%29+Using+Intron-Containing+Sequence+from+the+ADH-1+Gene,?,Auto,?,?,?,?,?,?,?,?,?,?,?
101,A Phylogenetic Analysis within Tribes Gloxinieae and Gesnerieae (Gesnerioideae: Gesneriaceae),,https://scholar.google.com/scholar?&q=A+Phylogenetic+Analysis+within+Tribes+Gloxinieae+and+Gesnerieae+%28Gesnerioideae%3A+Gesneriaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
102,A Phylogenetic Assessment of the Affinities of the Farasan Islands Flora,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Assessment+of+the+Affinities+of+the+Farasan+Islands+Flora,?,Auto,?,?,?,?,?,?,?,?,?,?,?
103,A Phylogenetic Investigation of Botrychium s. s. (Ophioglossaceae): Evidence from Three Plastid DNA Sequence Datasets,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Investigation+of+Botrychium+s.+s.+%28Ophioglossaceae%29%3A+Evidence+from+Three+Plastid+DNA+Sequence+Datasets,?,Auto,?,?,Auto,?,?,Auto,?,?,?,?,?
104,A Phylogenetic Re-evaluation of Morphological Variations of Starch Grains among Poaceae Species,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Re-evaluation+of+Morphological+Variations+of+Starch+Grains+among+Poaceae+Species,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
105,A Phylogenetic Study in American Podocominae (Asteraceae: Astereae) Based on Morphological and Molecular Data,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Study+in+American+Podocominae+%28Asteraceae%3A+Astereae%29+Based+on+Morphological+and+Molecular+Data,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
106,A Phylogenetic Study of Cuphea (Lythraceae) Based on Morphology and Nuclear Rdna ITS Sequences,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Study+of+Cuphea+%28Lythraceae%29+Based+on+Morphology+and+Nuclear+Rdna+ITS+Sequences,?,Auto,?,Auto,?,?,?,Auto,?,?,?,?,?
107,"A Phylogenetic Study of Korean Iris L. Based on Plastid DNA (psbA-trnH, trnL-F) Sequences",,https://scholar.google.com/scholar?&q=A+Phylogenetic+Study+of+Korean+Iris+L.+Based+on+Plastid+DNA+%28psbA-trnH%2C+trnL-F%29+Sequences,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
108,A Phylogenetic Study of Sanicula sect. Sanicoria and S. sect. Sandwicenses (Apiaceae) Based on Nuclear rDNA and Morphological Data,,https://scholar.google.com/scholar?&q=A+Phylogenetic+Study+of+Sanicula+sect.+Sanicoria+and+S.+sect.+Sandwicenses+%28Apiaceae%29+Based+on+Nuclear+rDNA+and+Morphological+Data,?,Auto,?,Auto,?,?,?,Auto,?,?,?,?,?
109,"A Phylogenetic and Taxonomic Review of Croton (Euphorbiaceae s.s.) on Jamaica Including the Description of Croton jamaicensis, a New Species of Section Eluteria",,https://scholar.google.com/scholar?&q=A+Phylogenetic+and+Taxonomic+Review+of+Croton+%28Euphorbiaceae+s.s.%29+on+Jamaica+Including+the+Description+of+Croton+jamaicensis%2C+a+New+Species+of+Section+Eluteria,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
110,A Phylogeny for two Cycad Families based on Chloroplast DNA Sequences,,https://scholar.google.com/scholar?&q=A+Phylogeny+for+two+Cycad+Families+based+on+Chloroplast+DNA+Sequences,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
111,A Phylogeny of Chloridoideae (Poaceae) Based on matK Sequences,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+Chloridoideae+%28Poaceae%29+Based+on+matK+Sequences,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
112,A Phylogeny of Euphorbieae Subtribe Euphorbiinae (Euphorbiaceae) Based on Molecular Data,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+Euphorbieae+Subtribe+Euphorbiinae+%28Euphorbiaceae%29+Based+on+Molecular+Data,?,Auto,?,?,?,?,?,?,?,?,?,?,?
113,A Phylogeny of Rinorea (Violaceae) Inferred from Plastid DNA Sequences with an Emphasis on the African and Malagasy Species,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+Rinorea+%28Violaceae%29+Inferred+from+Plastid+DNA+Sequences+with+an+Emphasis+on+the+African+and+Malagasy+Species,?,Auto,?,?,?,?,?,?,?,?,?,?,?
114,"A Phylogeny of Setaria (Poaceae, Panicoideae, Paniceae) and Related Genera Based on the Chloroplast Gene ndhF",,https://scholar.google.com/scholar?&q=A+Phylogeny+of+Setaria+%28Poaceae%2C+Panicoideae%2C+Paniceae%29+and+Related+Genera+Based+on+the+Chloroplast+Gene+ndhF,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
115,A Phylogeny of Toadflaxes (Linaria Mill.) Based on Nuclear Internal Transcribed Spacer Sequences: Systematic and Evolutionary Consequences,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+Toadflaxes+%28Linaria+Mill.%29+Based+on+Nuclear+Internal+Transcribed+Spacer+Sequences%3A+Systematic+and+Evolutionary+Consequences,?,Auto,?,?,Auto,?,?,Auto,?,?,?,?,?
116,A Phylogeny of the Carolinense Clade of Solanum Inferred from Plastid and Nuclear DNA Sequences,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+the+Carolinense+Clade+of+Solanum+Inferred+from+Plastid+and+Nuclear+DNA+Sequences,?,Auto,?,?,?,?,?,Auto,?,?,?,?,?
117,A Phylogeny of the Genus Amaranthus (Amaranthaceae) Based on Several Low-Copy Nuclear Loci and Chloroplast Regions,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+the+Genus+Amaranthus+%28Amaranthaceae%29+Based+on+Several+Low-Copy+Nuclear+Loci+and+Chloroplast+Regions,?,Auto,?,?,Auto,?,?,Auto,Auto,?,?,?,?
118,A Phylogeny of the Grass Family (Poaceae) Based on ndhF Sequence Data,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+the+Grass+Family+%28Poaceae%29+Based+on+ndhF+Sequence+Data,?,Auto,?,?,?,?,?,?,?,?,?,?,?
119,"A Phylogeny of the Monocots, as Inferred from rbcL and atpA Sequence Variation, and a Comparison of Methods for Calculating Jackknife and Bootstrap Values",,https://scholar.google.com/scholar?&q=A+Phylogeny+of+the+Monocots%2C+as+Inferred+from+rbcL+and+atpA+Sequence+Variation%2C+and+a+Comparison+of+Methods+for+Calculating+Jackknife+and+Bootstrap+Values,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
120,A Phylogeny of the Tropical Genus Piper Using ITS and the Chloroplast Intron psbJ-petA,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+the+Tropical+Genus+Piper+Using+ITS+and+the+Chloroplast+Intron+psbJ-petA,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
121,A Phylogeny of the Violaceae (Malpighiales) Inferred from Plastid DNA Sequences: Implications for Generic Diversity and Intrafamilial Classification,,https://scholar.google.com/scholar?&q=A+Phylogeny+of+the+Violaceae+%28Malpighiales%29+Inferred+from+Plastid+DNA+Sequences%3A+Implications+for+Generic+Diversity+and+Intrafamilial+Classification,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
122,"A Plastid Gene Phylogeny of the Yam Genus, Dioscorea: Roots, Fruits and Madagascar",,https://scholar.google.com/scholar?&q=A+Plastid+Gene+Phylogeny+of+the+Yam+Genus%2C+Dioscorea%3A+Roots%2C+Fruits+and+Madagascar,?,Auto,?,?,?,?,?,?,?,?,?,?,?
128,A Reanalysis of Relationships Among Calypsoinae (Orchidaceae: Epidendroideae): Floral and Vegetative Evolution and the Placement of Yoania,,https://scholar.google.com/scholar?&q=A+Reanalysis+of+Relationships+Among+Calypsoinae+%28Orchidaceae%3A+Epidendroideae%29%3A+Floral+and+Vegetative+Evolution+and+the+Placement+of+Yoania,?,Auto,?,?,?,?,?,?,?,?,?,?,?
130,"A Revaluation of the systematic positions of the Cercidiphyllaceae and Daphniphyllaceae based on rbcL gene sequence analysis, with reference to the relationship in the 'Lower' Hamamelidae",,https://scholar.google.com/scholar?&q=A+Revaluation+of+the+systematic+positions+of+the+Cercidiphyllaceae+and+Daphniphyllaceae+based+on+rbcL+gene+sequence+analysis%2C+with+reference+to+the+relationship+in+the+%27Lower%27+Hamamelidae,?,Auto,?,?,Auto,?,?,?,Auto,?,?,?,?
131,A Review of Potentially Useful Molecular Markers for Systematics Studies in the Eriocaulaceae Martinov,,https://scholar.google.com/scholar?&q=A+Review+of+Potentially+Useful+Molecular+Markers+for+Systematics+Studies+in+the+Eriocaulaceae+Martinov,?,Auto,?,?,Auto,?,?,?,?,?,?,?,?
139,A Taxonomic Revision of Ipomoea section Pharbitis (Convolvulaceae),,https://scholar.google.com/scholar?&q=A+Taxonomic+Revision+of+Ipomoea+section+Pharbitis+%28Convolvulaceae%29,Auto,?,?,?,?,?,?,?,?,?,?,?,?
140,A Taxonomic Study of Genus Amaranthus in Korea,,https://scholar.google.com/scholar?&q=A+Taxonomic+Study+of+Genus+Amaranthus+in+Korea,Auto,?,?,?,?,?,?,?,?,?,?,?,?
141,A Taxonomy Study on the Species Complex of Pharbitis nil (Convolvulaceae),,https://scholar.google.com/scholar?&q=A+Taxonomy+Study+on+the+Species+Complex+of+Pharbitis+nil+%28Convolvulaceae%29,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
142,A Thorny Dilemma: Testing Alternative Intrageneric Classifications within Ziziphus (Rhamnaceae),,https://scholar.google.com/scholar?&q=A+Thorny+Dilemma%3A+Testing+Alternative+Intrageneric+Classifications+within+Ziziphus+%28Rhamnaceae%29,Auto,?,?,?,?,?,?,?,?,?,?,?,?
143,A Three-Gene Phylogeny of the Genus Solanum (Solanaceae),,https://scholar.google.com/scholar?&q=A+Three-Gene+Phylogeny+of+the+Genus+Solanum+%28Solanaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
151,A bi-organellar phylogenomic study of Pandanales: inference of higher-order relationships and unusual rate-variation patterns,,https://scholar.google.com/scholar?&q=A+bi-organellar+phylogenomic+study+of+Pandanales%3A+inference+of+higher-order+relationships+and+unusual+rate-variation+patterns,?,Auto,?,?,?,?,?,?,?,?,?,?,?
155,"A brainstorm on the systematics of Turnera (Turneraceae, Malpighiales) caused by insights from molecular phylogenetics and morphological evolution",,https://scholar.google.com/scholar?&q=A+brainstorm+on+the+systematics+of+Turnera+%28Turneraceae%2C+Malpighiales%29+caused+by+insights+from+molecular+phylogenetics+and+morphological+evolution,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
157,A broader model for C4 photosynthesis evolution in plants inferred from the goosefoot family (Chenopodiaceae s.s.),,https://scholar.google.com/scholar?&q=A+broader+model+for+C4+photosynthesis+evolution+in+plants+inferred+from+the+goosefoot+family+%28Chenopodiaceae+s.s.%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
173,A chloroplast DNA phylogeny of Solanum section Lasiocarpa,,https://scholar.google.com/scholar?&q=A+chloroplast+DNA+phylogeny+of+Solanum+section+Lasiocarpa,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
174,"A chloroplast genealogy of hordeum (poaceae): Long-term persisting haplotypes, incomplete lineage sorting, regional extinction, and the consequences for phylogenetic inference",,https://scholar.google.com/scholar?&q=A+chloroplast+genealogy+of+hordeum+%28poaceae%29%3A+Long-term+persisting+haplotypes%2C+incomplete+lineage+sorting%2C+regional+extinction%2C+and+the+consequences+for+phylogenetic+inference,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
182,"A classification for Blechnaceae (Polypodiales: Polypodiopsida): New genera, resurrected names, and combinations",,https://scholar.google.com/scholar?&q=A+classification+for+Blechnaceae+%28Polypodiales%3A+Polypodiopsida%29%3A+New+genera%2C+resurrected+names%2C+and+combinations,Auto,?,?,?,?,?,?,?,?,?,?,?,?
183,A classification of the Chloridoideae (Poaceae) based on multi-gene phylogenetic trees,,https://scholar.google.com/scholar?&q=A+classification+of+the+Chloridoideae+%28Poaceae%29+based+on+multi-gene+phylogenetic+trees,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
184,A close relationship between Tertiary relict and circumboreal woodland: evidence from biogeography of Northern temperate distributed Chimaphila (Ericaceae),,https://scholar.google.com/scholar?&q=A+close+relationship+between+Tertiary+relict+and+circumboreal+woodland%3A+evidence+from+biogeography+of+Northern+temperate+distributed+Chimaphila+%28Ericaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
185,A combined evidence phylogenetic re-circumscription and a taxonomic revision of Lophiarella (Orchidaceae: Oncidiinae),,https://scholar.google.com/scholar?&q=A+combined+evidence+phylogenetic+re-circumscription+and+a+taxonomic+revision+of+Lophiarella+%28Orchidaceae%3A+Oncidiinae%29,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
186,"A community-endorsed phylogenetic classification of the Leguminosae, including a new densely-sampled phylogeny of the family",,https://scholar.google.com/scholar?&q=A+community-endorsed+phylogenetic+classification+of+the+Leguminosae%2C+including+a+new+densely-sampled+phylogeny+of+the+family,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
187,"A community-endorsed phylogenetic classification of the Leguminosae, including a new densely-sampled phylogeny of the family (Legume Phylogeny Working Group)",,https://scholar.google.com/scholar?&q=A+community-endorsed+phylogenetic+classification+of+the+Leguminosae%2C+including+a+new+densely-sampled+phylogeny+of+the+family+%28Legume+Phylogeny+Working+Group%29,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
188,A comparative analysis of island floras challenges taxonomy-based biogeographical models of speciation,,https://scholar.google.com/scholar?&q=A+comparative+analysis+of+island+floras+challenges+taxonomy-based+biogeographical+models+of+speciation,Auto,Auto,?,?,?,?,?,?,?,?,?,?,?
191,A comparision of angiosperm phylogenies from nuclear 18S rRNA and rbcL sequences,,https://scholar.google.com/scholar?&q=A+comparision+of+angiosperm+phylogenies+from+nuclear+18S+rRNA+and+rbcL+sequences,?,Auto,?,?,Auto,?,?,Auto,Auto,?,?,?,?
192,A comparison of invasive and noninvasive Commelinaceae in a phylogentic context,,https://scholar.google.com/scholar?&q=A+comparison+of+invasive+and+noninvasive+Commelinaceae+in+a+phylogentic+context,?,Auto,?,?,?,?,?,?,?,?,?,?,?
194,A comparison of sulfate and selenium accumulation in relation to the expression of sulfate transporter genes in astragalus species,,https://scholar.google.com/scholar?&q=A+comparison+of+sulfate+and+selenium+accumulation+in+relation+to+the+expression+of+sulfate+transporter+genes+in+astragalus+species,?,Auto,?,?,?,?,?,?,?,?,?,?,?
195,A comparison of the 5S rDNA diversity in the Hordeum brachyantherum-californicum complex with those of the eastern Asiatic Hordeum roshevitzii and the South American Hordeum cordobense (Triticeae: Poaceae),,https://scholar.google.com/scholar?&q=A+comparison+of+the+5S+rDNA+diversity+in+the+Hordeum+brachyantherum-californicum+complex+with+those+of+the+eastern+Asiatic+Hordeum+roshevitzii+and+the+South+American+Hordeum+cordobense+%28Triticeae%3A+Poaceae%29,?,Auto,?,?,?,?,?,?,?,?,?,?,?
196,A complete generic phylogeny of Malpighiaceae inferred from nucleotide sequence data and morphology,,https://scholar.google.com/scholar?&q=A+complete+generic+phylogeny+of+Malpighiaceae+inferred+from+nucleotide+sequence+data+and+morphology,?,Auto,?,Auto,?,?,?,?,?,?,?,?,?
197,A complete generic plastid DNA phylogeny of the palm family with comparison to whole genome- and supermatrix approaches,,https://scholar.google.com/scholar?&q=A+complete+generic+plastid+DNA+phylogeny+of+the+palm+family+with+comparison+to+whole+genome-+and+supermatrix+approaches,?,Auto,?,?,?,?,?,?,?,?,?,?,?
198,A complex resistance locus in Solanum americanum recognizes a conserved Phytophthora effector,,https://scholar.google.com/scholar?&q=A+complex+resistance+locus+in+Solanum+americanum+recognizes+a+conserved+Phytophthora+effector,?,Auto,?,?,?,?,?,?,?,?,?,?,?
199,"A comprehensive chloroplast DNA-based phylogeny of the genus Potentilla (Rosaceae): implications for its geographic origin, phylogeography and generic circumscription",,https://scholar.google.com/scholar?&q=A+comprehensive+chloroplast+DNA-based+phylogeny+of+the+genus+Potentilla+%28Rosaceae%29%3A+implications+for+its+geographic+origin%2C+phylogeography+and+generic+circumscription,?,Auto,?,?,?,?,?,?,Auto,?,?,?,?
